word,word_clean,word_stem,lemma,wclass,word_synonym ,synonym
abandon,abandon,abandon,abandon,verb,"list(syn = c(""abandon"", ""desert"", ""desolate"", ""empty"", ""forsake"", ""give up"", ""vacate""))",empty
abandoned,abandoned,abandon,abandon,verb,"list(syn = c(""abandon"", ""desert"", ""desolate"", ""empty"", ""forsake"", ""give up"", ""vacate""))",empty
abandoning,abandoning,abandon,abandon,verb,"list(syn = c(""abandon"", ""desert"", ""desolate"", ""empty"", ""forsake"", ""give up"", ""vacate""))",empty
absent,absent,absent,absent,adjective,"list(syn = c(""absent"", ""absentminded"", ""abstracted"", ""scatty""))",absent
absently,absently,absent,absently,adverb,"list(syn = c(""absently"", ""absentmindedly"", ""abstractedly"", ""inattentively""))",absently
absorbs,absorbs,absorb,absorb,verb,"list(syn = c(""absorb"", ""assimilate"", ""draw"", ""engage"", ""engross"", ""engulf"", ""imbibe"", ""immerse"", ""ingest"", ""occupy"", ""plunge"", ""soak up"", ""sop up"", ""steep"", ""suck"", ""suck up"", ""take in"", ""take over"", ""take up""))",plunge
abstract,abstract,abstract,abstract,adjective,"list(syn = c(""abstract"", ""abstractionist"", ""nonfigurative"", ""nonobjective""))",abstract
accent,accent,accent,accent,noun,"list(syn = c(""accent"", ""accent mark"", ""dialect"", ""emphasis"", ""idiom"", ""speech pattern"", ""stress""))",accent
accept,accept,accept,accept,verb,"list(syn = c(""accept"", ""admit"", ""assume"", ""bear"", ""consent"", ""go for"", ""have"", ""live with"", ""swallow"", ""take"", ""take on"", ""take over""))",bear
accidental,accidental,accident,accidental,noun,"list(syn = ""accidental"")",accidental
accidentally,accidentally,accident,accidentally,adverb,"list(syn = c(""accidentally"", ""by chance"", ""circumstantially"", ""incidentally"", ""unexpectedly"", ""unintentionally""))",unexpectedly
acclimatized,acclimatized,acclimat,acclimatize,verb,"list(syn = c(""acclimate"", ""acclimatise"", ""acclimatize""))",acclimatize
accompanied,accompanied,accompani,accompany,verb,"list(syn = c(""accompany"", ""attach to"", ""come with"", ""companion"", ""company"", ""follow"", ""go with"", ""keep company"", ""play along""))",companion
accordion,accordion,accordion,accordion,noun,"list(syn = c(""accordion"", ""piano accordion"", ""squeeze box""))",accordion
acoma,acoma,acoma,NA,NA,list(syn = NA),NA
acorn,acorn,acorn,acorn,noun,"list(syn = ""acorn"")",acorn
acorns,acorns,acorn,acorn,noun,"list(syn = ""acorn"")",acorn
acquaintance,acquaintance,acquaint,acquaintance,noun,"list(syn = c(""acquaintance"", ""acquaintanceship"", ""conversance"", ""conversancy"", ""familiarity"", ""friend""))",acquaintance
acrobats,acrobats,acrobat,acrobat,noun,"list(syn = ""acrobat"")",acrobat
add,add,add,add,verb,"list(syn = c(""add"", ""add together"", ""add up"", ""append"", ""bestow"", ""bring"", ""contribute"", ""impart"", ""lend"", ""sum"", ""sum up"", ""summate"", ""supply"", ""tally"", ""tot"", ""tot up"", ""total"", ""tote up""))",total
added,added,ad,add,verb,"list(syn = c(""add"", ""add together"", ""add up"", ""append"", ""bestow"", ""bring"", ""contribute"", ""impart"", ""lend"", ""sum"", ""sum up"", ""summate"", ""supply"", ""tally"", ""tot"", ""tot up"", ""total"", ""tote up""))",total
