"date","text","author","syllables","form"
2016-03-26,"balmy breeze
swarming bees circle
the river bank","Polona Oblak",13,"free"
2016-03-25,"whitecaps on the bay
the overhead cries
of migrating birds","Polona Oblak",16,"free"
2016-03-24,"deep
within
the
lettuce
a
slug
shaped
hole","Polona Oblak",12,"free"
2016-03-23,"siskins' trill
sunlight floods
the bare larch","Polona Oblak",10,"free"
2016-03-22,"drifting fog
an acquaintance
i'd rather not meet","Polona Oblak",13,"free"
2016-03-21,"ferry harbour customs area swifts dart through the heat","Polona Oblak",13,"free"
2016-03-20,"frost lingers
i clean brussels sprouts
in the kitchen sink","Polona Oblak",13,"free"
2016-03-19,"boat house
the graying planks
one with the cliff","Anna Maris",13,"free"
2016-03-18,"the small cabin
one room
and a sauna","Anna Maris",11,"free"
2016-03-17,"summer's day
a dad shows his son
grandpa's work","Anna Maris",11,"free"
2016-03-16,"on the jetty
above the fish
my feet","Anna Maris",11,"free"
2016-03-15,"soft breeze
the gentle hum
of a beehive","Anna Maris",11,"free"
2016-03-14,"spring morning
in the hands of the child
daffodils!","Anna Maris",12,"free"
2016-03-13,"insomnia
in my waterglass
moonbeams","Anna Maris",10,"free"
2016-03-12,"spring dusk
more and more stars
on wet branches","Alexey Andreev",12,"free"
2016-03-11,"dance studio
a crack in the mirror glued
with paper hearts","Alexey Andreev",15,"free"
2016-03-10,"my ear conch
to your ear conch
sounds of the sea","Alexey Andreev",11,"free"
2016-03-09,"sunny noon
a wheel-less scooter
at the pub door","Alexey Andreev",12,"free"
2016-03-08,"housewarming
a kitten chases
his own tail","Alexey Andreev",12,"free"
2016-03-07,"""I draw the snow""
said the child
with an empty sheet","Alexey Andreev",12,"free"
2016-03-06,"winter zoo
a rat walks in
the monkeys’ cage","Alexey Andreev",11,"free"
2016-03-05,"leaving home
a curve carved off
the moon","Sondra J. Byrnes",12,"free"
2016-03-04,"stepping into
the same snowpath—
year of the monkey","Sondra J. Byrnes",14,"free"
2016-03-02,"cluster of juncos
in the apricot tree
silent snow","Sondra J. Byrnes",14,"free"
2016-03-01,"twist of dust
across the plaza
going home","Sondra J. Byrnes",10,"free"
2016-02-29,"dry leaves
in a snow pocket
blind faith","Sondra J. Byrnes",10,"free"
2016-02-28,"midwinter a red amaryllis lights the fire","Sondra J. Byrnes",12,"free"
2016-02-27,"overgrown path
saskatoons ripe
for the picking","Linda Pilarski",13,"free"
2016-02-26,"textured light—
the lily
fills with dew","Linda Pilarski",10,"free"
2016-02-25,"rainy spring—
carrots sprouting
among the peas","Linda Pilarski",11,"free"
2016-02-24,"folded poppies
await the light
summer solstice","Linda Pilarski",12,"free"
2016-02-23,"a butterfly’s
feather-light breath
spring sun","Linda Pilarski",10,"free"
2016-02-22,"approaching dusk
a single raven
claims the sky","Linda Pilarski",12,"free"
2016-02-21,"spring mist
the last swans sail
into the sun","Linda Pilarski",10,"free"
2016-02-20,"from somewhere beyond the pines
the cry of a child
not my own","Angela Leuck",17,"traditional"
2016-02-19,"Christmas long gone—
three crows
in the pear tree","Angela Leuck",11,"free"
2016-02-18,"so like my own plans—
HMS Resolution sunk
next to Endeavor","Angela Leuck",16,"free"
2016-02-17,"one mosquito
and the sun porch
suddenly too small","Angela Leuck",14,"free"
2016-02-16,"goldenrod—
I wade through a field
of autumn light","Angela Leuck",13,"free"
2016-02-15,"smoky amber beads—
the music box plays
""Fly Me to the Moon""","Angela Leuck",15,"free"
2016-02-14,"still carrying
summer on its wings
swallowtail","Angela Leuck",12,"free"
2016-02-13,"sudden thunder
a juvenile mallard
snaps at a gnat","Polona Oblak",15,"free"
2016-02-12,"sparrowfight
in elderbush
spring thunder","Polona Oblak",10,"free"
2016-02-11,"lingering daylight
i pick a primrose
for its taste","Polona Oblak",14,"free"
2016-02-10,"heavy snowfall
a hawk on a fence post
almost white","Polona Oblak",14,"free"
2016-02-09,"winter depression the colour of rain in the river","Polona Oblak",14,"free"
2016-02-08,"whitecaps
a gull's wingtips
taming the wind","Polona Oblak",11,"free"
2016-02-07,"the languages
we learned as children . . .
moss-covered stump","Polona Oblak",15,"free"
2016-02-06,"first light
shadows of branches stroke
the bedroom ceiling","Anna Maris",14,"free"
